,ID,distB,distC,distG,distH,distO,distS,ddistB,ddistC,dddistG,ddistH,ddistO,ddistS,groupIC,GridX,GridY,viewIC,scalefactor,sdB,sdC,sdG,sdH,sdO,sdS,TotDist
STATE_39000,STATE_39000,0.059196458150838537,0.059196458150838537,0.06927731681641994,0.06152248205906907,0.09211000704234977,0.10601007049154212,0,0,0,0,0,0,I,1,3,3,1,0,0,0,0,0,0,0.44731279271105795
STATE_49000,STATE_49000,0.06346661979404485,0.06346661979404485,0.07548254328062694,0.06703525967324045,0.09349380421399503,0.11170091614378319,0,0,0,0,0,0,I,2,3,3,1,0,0,0,0,0,0,0.47464576289973526
STATE_50000,STATE_50000,0.06347149647582732,0.06347149647582732,0.07174049414396151,0.06698066268571327,0.10264089647229016,0.10757921254644984,0,0,0,0,0,0,I,3,3,3,1,0,0,0,0,0,0,0.47588425880006946
STATE_68000,STATE_68000,0.06503484143535095,0.06503484143535095,0.07465610317666278,0.0690833956026992,0.09139322196156449,0.12024076344811288,0,0,0,0,0,0,I,4,3,3,1,0,0,0,0,0,0,0.4854431670597412
STATE_41000,STATE_41000,0.06501015609459214,0.06501015609459214,0.07876099348997512,0.0668163810625166,0.10026789205339548,0.11322156823721294,0,0,0,0,0,0,I,5,3,3,1,0,0,0,0,0,0,0.4890871470322844
STATE_28000,STATE_28000,0.0626375078172482,0.0626375078172482,0.07351574415459466,0.06603332300872525,0.10362635824820385,0.12071923522839863,0,0,0,0,0,0,I,6,3,3,1,0,0,0,0,0,0,0.4891696762744188
STATE_6000,STATE_6000,0.06443290998573177,0.06443290998573177,0.07649541673440827,0.06755288596075833,0.0941806426621659,0.12919125645948884,0,0,0,0,0,0,I,7,3,3,1,0,0,0,0,0,0,0.49628602178828485
STATE_31000,STATE_31000,0.0672110134607496,0.0672110134607496,0.08072113137979746,0.0705767133449504,0.0994037994477081,0.11152570982716059,0,0,0,0,0,0,I,8,3,3,1,0,0,0,0,0,0,0.49664938092111577
STATE_24000,STATE_24000,0.06645638151699249,0.06645638151699249,0.07964766101939183,0.06825733859086526,0.10290928947316616,0.11537013603206972,0,0,0,0,0,0,I,1,4,3,1,0,0,0,0,0,0,0.4990971881494779
STATE_3000,STATE_3000,0.06917311972341328,0.06917311972341328,0.08014159367372178,0.07085543183750152,0.09709191462098037,0.12293841513531342,0,0,0,0,0,0,I,2,4,3,1,0,0,0,0,0,0,0.5093735947143436
STATE_86000,STATE_86000,0.06839708461163031,0.06839708461163031,0.08090983661013293,0.0725668208989895,0.10238409332577769,0.11782130465289171,0,0,0,0,0,0,I,3,4,3,1,0,0,0,0,0,0,0.5104762247110525
STATE_93000,STATE_93000,0.06705950929024691,0.06705950929024691,0.07916704408264708,0.07162424039298965,0.11120508913462548,0.11550062619018961,0,0,0,0,0,0,I,4,4,3,1,0,0,0,0,0,0,0.5116160183809456
STATE_92000,STATE_92000,0.068070759511872,0.068070759511872,0.08388079252452499,0.07335900083693479,0.10731164488170011,0.11311393892345349,0,0,0,0,0,0,I,5,4,3,1,0,0,0,0,0,0,0.5138068961903574
STATE_25000,STATE_25000,0.06787482081697406,0.06787482081697406,0.0776888148323652,0.07361923205252,0.10681786628917438,0.12148374791881855,0,0,0,0,0,0,I,6,4,3,1,0,0,0,0,0,0,0.5153593027268262
STATE_60000,STATE_60000,0.06900437903914924,0.06900437903914924,0.07998758184533898,0.07255723581013566,0.10306703975822769,0.12462529158813063,0,0,0,0,0,0,I,7,4,3,1,0,0,0,0,0,0,0.5182459070801315
STATE_74000,STATE_74000,0.06787020153237143,0.06787020153237143,0.07825332968140691,0.07335776040864887,0.10046770368247418,0.13137969893983936,0,0,0,0,0,0,I,8,4,3,1,0,0,0,0,0,0,0.5191988957771122
