,sp1,sp2,distSTATE_0,distSTATE_23000,delta,redundIC
BO,bonobo,orangutan,0.09695775237694255,0.10921679693756992,-0.01225904456062736,0
CO,chimp,orangutan,0.09695775237694255,0.10921679693756992,-0.01225904456062736,0
GO,gorilla,orangutan,0.09695775237694255,0.10921679693756992,-0.01225904456062736,0
HO,human,orangutan,0.09695775237694255,0.10921679693756992,-0.01225904456062736,0
OB,orangutan,bonobo,0.09695775237694255,0.10921679693756992,-0.01225904456062736,1
OC,orangutan,chimp,0.09695775237694255,0.10921679693756992,-0.01225904456062736,1
OG,orangutan,gorilla,0.09695775237694255,0.10921679693756992,-0.01225904456062736,1
OH,orangutan,human,0.09695775237694255,0.10921679693756992,-0.01225904456062736,1
BH,bonobo,human,0.04177480917028084,0.0480861085037457,-0.006311299333464859,0
CH,chimp,human,0.04177480917028084,0.0480861085037457,-0.006311299333464859,0
HB,human,bonobo,0.04177480917028084,0.0480861085037457,-0.006311299333464859,1
HC,human,chimp,0.04177480917028084,0.0480861085037457,-0.006311299333464859,1
BC,bonobo,chimp,0.02215372366453325,0.026296271425077573,-0.004142547760544322,0
CB,chimp,bonobo,0.02215372366453325,0.026296271425077573,-0.004142547760544322,1
BG,bonobo,gorilla,0.06379868464187838,0.06769762746246803,-0.0038989428205896542,0
CG,chimp,gorilla,0.06379868464187838,0.06769762746246803,-0.0038989428205896542,0
GB,gorilla,bonobo,0.06379868464187838,0.06769762746246803,-0.0038989428205896542,1
GC,gorilla,chimp,0.06379868464187838,0.06769762746246803,-0.0038989428205896542,1
GH,gorilla,human,0.06379868464187838,0.06769762746246803,-0.0038989428205896542,0
HG,human,gorilla,0.06379868464187838,0.06769762746246803,-0.0038989428205896542,1
BS,bonobo,siamang,0.13142278790486078,0.10921679693756992,0.022205990967290867,0
CS,chimp,siamang,0.13142278790486078,0.10921679693756992,0.022205990967290867,0
GS,gorilla,siamang,0.13142278790486078,0.10921679693756992,0.022205990967290867,0
HS,human,siamang,0.13142278790486078,0.10921679693756992,0.022205990967290867,0
SB,siamang,bonobo,0.13142278790486078,0.10921679693756992,0.022205990967290867,1
SC,siamang,chimp,0.13142278790486078,0.10921679693756992,0.022205990967290867,1
SG,siamang,gorilla,0.13142278790486078,0.10921679693756992,0.022205990967290867,1
SH,siamang,human,0.13142278790486078,0.10921679693756992,0.022205990967290867,1
OS,orangutan,siamang,0.13142278790486078,0.10207233121146168,0.0293504566933991,0
SO,siamang,orangutan,0.13142278790486078,0.10207233121146168,0.0293504566933991,1
O*,orangutan,*,0.10385075948252623,0.10778790379234826,-0.003937144309822033,0
H*,human,*,0.0751457686528487,0.07646068766901987,-0.0013149190161711732,0
B*,bonobo,*,0.07122155155169918,0.07210272025328623,-0.000881168701587054,0
C*,chimp,*,0.07122155155169918,0.07210272025328623,-0.000881168701587054,0
G*,gorilla,*,0.0839553188414877,0.08430529525250878,-0.0003499764110210801,0
S*,siamang,*,0.1314227879048608,0.10778790379234826,0.02363488411251255,0
